Date,Location,Operator,Aircraft_Type,Registration,Fatalities,Total_Onboard,Ground_Fatalities
1948-02-07,"Off Jacksonville, Florida",Eastern Air Lines,Lockheed L-649 Constellation,NC112A,1,69,0
1948-02-10,"Near Padalarang, Indonesia",KLM Royal Dutch Airlines,Douglas DC-3,PK-REA,19,19,0
1948-02-12,"Ubrichstein, Germany",Det Danske Luftfartselskab,Douglas DC-3,OY-DCI,12,21,0
1948-02-20,"Collesalvetti, Italy",Società Aerea Teseo,Douglas C-47-DL,I-REGI,7,10,0
1948-02-21,"Off St. Marcouf, France",Latecoere Airlines,Latecoere 631 (flying boat),F-BDRD,14,14,0
1948-02-23,"Davao, Philippines",Commercial Airways,Douglas DC-3,PI-C262,12,12,0
1948-02-25,"Columbus, Ohio",Bruning Aviation,Douglas C-47A,NC36498,2,2,0
1948-02-27,"Near Belem, Brazil",Military - Brazilian Air Force,Douglas C-47,2040,23,26,0
1948-03-02,"Off Perpignan, France",Société de Transports Aériens,Junkers Ju-52/3m,F-BBYC,4,4,0
1948-03-02,"Heathrow Airport, London, England",Sabena,Douglas DC-3,OO-AWH,20,22,0
1948-03-07,"Near Skalafell, Iceland",Loftleidir Icelandic Airlines,Avro Anson,TF-RVL,4,4,0
1948-03-10,"Chicago, Illinois",Delta Air Lines,Douglas DC-4,NC37478,12,13,0
1948-03-12,"Mt. Sanford, Alaska",Northwest Orient Airlines,Douglas DC-4 (C-54G-1-DO),NC95422,30,30,0
1948-03-13,"Sierra Cristais, Brazil",Cruzeiro,Douglas DC-3,PP-CBX,6,6,0
1948-03-15,"Villa Pinzon, Colombia",Agencia Interamericana de Aviada,Douglas DC-3 (C47-DL),C-1002,14,14,0
1948-03-27,"Monte Cardo, Corsica, France",Indian National Airlines,Vickers 604 Viking 1B,VT-CEL,19,19,0
1948-04-05,"Near Berlin, Germany",British European Airways / Military - Soviet Air Force,Vickers Viking 1B & Soviet YAK-3 fighter,G-AIVP,14,14,0
1948-04-10,"Kano, Nigeria",Air France,Douglas DC-4,F-BBDC,1,6,0
1948-04-15,"Shannon, Ireland",Pan American World Airways,Lockheed L-049-46 Constellation,NC-88858,30,31,0
1948-04-18,Territory of New Guinea,New Guinea Air Traders,Lockheed Hudson IIIA,VH-ALA,37,37,0
1948-04-24,Near Irkutsk Russia,Aeroflot,Lisnov Li-2,CCCP-L4460,28,29,0
1948-05-13,"Mount Coron, France",Skyways of London,de Havilland Dove 1,G-AJOU,4,4,0
1948-05-13,"Near Magazini, Belgian Congo (Zaire)",Sabena,Douglas DC-4-1009,OO-CBE,31,32,0
1948-05-15,"Vrede, South Africa",Mercury Aviation,Douglas DC-3-455,ZS-BWY,13,13,0
1948-05-16,"Columbus, Ohio",Slick Airways,Curtiss C-46E,NC59489,2,2,0
1948-05-20,"Near Bovingdon, England",Air Transport Charter,Douglas C-47A,G-AJBG,3,4,0
1948-05-22,"Khabarovsk, Russia",Aeroflot,Douglas C-47,CCCP-L1073,8,9,0
1948-05-25,"Albacete, Spain",Alpha Airways,Handley Page Halifax C-8,G-AKBA,4,4,1
1948-06-10,Isle of Man,Hargreaves Airways,de Havilland DH-89A Dragon Rapide,G-AIUI,6,8,0
1948-06-17,"Mount Carmel, Pennsylvania",United Air Lines,Douglas DC-6,NC37506,43,43,0
1948-06-17,"Over the Pearl River, China",Cathy Pacific,PBY Catalina,?,25,26,0
1948-06-26,"Maiquetia, Venezuela",Linea Aeropostal Venezolana,Douglas DC-3,YV-C-AHI,1,17,0
1948-07-01,"Keerbergen, Belgium",Avio Linee Italiane,Fiat G.212CP,I-ELSA,8,12,0
1948-07-04,"Northolt, Middlesex, England",Scandinavian Airlines (SAS),Douglas DC-6 / RAF York,SE-BDA/ MW248,39,39,0
1948-07-07,"Djiring, French Indo-China",Aigle Azur,Douglas DC-3,F-BCYP,16,16,0
1948-07-14,"Belem, Brazil",Aerovias Brasil,Douglas C-47A,PP-AVO,5,5,0
1948-07-16,Pacific Ocean between Hong Kong and Macao,Cathay Airways,Consolidated OA-10 Catalina,VR-HDT,25,26,0
1948-07-24,"Cap-des-Rosiers, Quebec, Canada",Rimouski Airlines,Douglas DC-3,CF-FKY,29,29,0
1948-07-29,"Buenos Aires, Argentina",ALFA,Short Sandringham 2 (flying boat),LV-AAP,18,24,0
1948-07-29,"Tsingtao, China",Civil Air Transport,Curtiss C-46D-20-CU,XT-822,19,19,0
1948-08-01,"Karachi, Pakistan",Onzeair,Avro 691 Lancastrian (flying boat),AP-ACM,4,4,0
1948-08-01,"1,200 miles off Dakar, Atlantic Ocean",Air France,Latecoere 631 (flying boat),F-BDRC,52,52,0
1948-08-09,"Port Underwood, New Zealand",New Zealand National Airways,Douglas C-47B,ZK-AOE,2,2,0
1948-08-20,"La Guaira, Venezuela",Avensa,Douglas C-47A,YV-C-AVN,3,3,0
1948-08-29,"Near Winona, Minnesota",Northwest Orient Airlines,Martin 202,NC93044,37,37,0
1948-08-31,"Near Elizabethville, Belgium Congo",Sabena,Douglas DC-3 (Douglas C-47A-10-DK),OO-CBL,13,13,0
1948-09-02,"Near Quirindi, Australia",Australian National Airways,Douglas DC-3,VH-ANK,13,13,0
1948-09-30,"Balkhash, Kazakhstan",Aeroflot,Lisunov LI-2,CCCP-L4304,15,15,0
1948-10-02,"Near Trondheim, Norway",Norwegian Airlines,Short Sandringham 6 (flying boat),LN-IWA,19,45,0
1948-10-12,"Near Yevlakh, Azerbaijan, USSR",Aeroflot,Ilyushin Il12,CCCP-L1450,10,10,0
1948-10-21,"Prestwick Airport, Scotland",KLM Royal Dutch Airlines,Lockheed 049-46-25 Constellation,PH-TEN,40,40,0
1948-10-23,"Mt. Ruapehu, New Zealand",New Zealand National Airways,Lockheed 10A Electra,ZK-AGK,13,13,0
1948-10-25,"Georgian SSR, USSR",Aerflot,Lisunov Li-2,CCCP-L4500,18,18,0
1948-10-27,"Near Edmonton, Alberta, Canada",Northwest Orient Airlines,Douglas C-54A,NC88785,2,5,0
